Date,close,Open,High,Low,Vol.
"Jan 01, 2019",3809.4,"3,709.50",3814.3,"3,664.40",469.11K
"Jan 02, 2019",3873.8,"3,809.70",3894.8,"3,768.10",554.47K
"Jan 03, 2019",3780.1,"3,874.10",3875.8,"3,753.00",450.32K
"Jan 04, 2019",3802.7,"3,780.50",3823.9,"3,720.00",488.70K
"Jan 05, 2019",3785.4,"3,802.80",3846.7,"3,769.00",468.45K
"Jan 06, 2019",4004.1,"3,785.70",4034.1,"3,758.50",529.89K
"Jan 07, 2019",3985.9,"4,004.30",4028,"3,945.50",500.88K
"Jan 08, 2019",3971,"3,985.80",4070.5,"3,943.10",514.08K
"Jan 09, 2019",3978,"3,971.00",4014.2,"3,957.50",473.42K
"Jan 10, 2019",3603.7,"3,978.90",4007.7,"3,562.10",697.31K
"Jan 11, 2019",3616.5,"3,603.30",3655.7,"3,563.10",551.64K
"Jan 12, 2019",3597.2,"3,616.60",3633.9,"3,561.30",435.06K
"Jan 13, 2019",3490.2,"3,597.30",3617.6,"3,473.20",452.79K
"Jan 14, 2019",3638.1,"3,490.40",3672,"3,490.40",539.93K
"Jan 15, 2019",3571.3,"3,637.50",3660.8,"3,545.70",544.85K
"Jan 16, 2019",3588,"3,570.60",3644.1,"3,561.40",487.34K
"Jan 17, 2019",3626.4,"3,588.10",3636.7,"3,554.80",525.10K
"Jan 18, 2019",3605.6,"3,626.30",3627.9,"3,575.70",488.16K
"Jan 19, 2019",3677.8,"3,605.80",3715.2,"3,604.10",537.06K
"Jan 20, 2019",3542.3,"3,676.20",3699.1,"3,503.90",563.31K
"Jan 21, 2019",3536.7,"3,542.70",3561.4,"3,505.40",394.17K
"Jan 22, 2019",3580.1,"3,536.90",3607.9,"3,465.20",447.70K
"Jan 23, 2019",3561.5,"3,580.10",3608.3,"3,532.80",445.87K
"Jan 24, 2019",3574.3,"3,561.40",3587,"3,539.70",428.60K
"Jan 25, 2019",3572,"3,574.30",3582.6,"3,542.20",448.89K
"Jan 26, 2019",3570.9,"3,572.00",3652.5,"3,556.10",432.55K
"Jan 27, 2019",3555.6,"3,570.90",3583.2,"3,509.20",464.02K
"Jan 28, 2019",3442.8,"3,555.80",3561.2,"3,395.70",620.85K
"Jan 29, 2019",3414.8,"3,442.80",3450.1,"3,368.20",585.46K
"Jan 30, 2019",3460,"3,414.60",3479,"3,394.20",600.25K
"Jan 31, 2019",3437.2,"3,460.00",3484.7,"3,427.00",477.07K
"Feb 01, 2019",3467.9,"3,437.70",3485.7,"3,415.30",481.58K
"Feb 02, 2019",3502.5,"3,467.90",3514.5,"3,447.80",443.60K
"Feb 03, 2019",3459.1,"3,502.30",3507.8,"3,431.30",451.66K
"Feb 04, 2019",3462.8,"3,459.00",3479.7,"3,437.10",503.92K
"Feb 05, 2019",3468.4,"3,463.00",3485.9,"3,450.30",460.95K
