Date,Price,Open,High,Low,Vol.,Change %,Gini,Kvalue,Standard_Deviation,Skewness,Kurtosis
2011-01-01,0.3,0.3,0.3,0.3,2.82K,0.00%,1.0,0.0,0.0,,
2011-01-02,0.3,0.3,0.3,0.3,5.35K,0.00%,1.0,0.0,0.0,,
2011-01-03,0.3,0.3,0.3,0.3,1.43K,0.00%,,0.0,0.0,,
2011-01-04,0.3,0.3,0.3,0.3,1.88K,0.00%,,0.0,0.0,,
2011-01-05,0.3,0.3,0.3,0.3,0.36K,0.00%,,0.0,0.0,,
2011-01-06,0.3,0.3,0.3,0.3,3.46K,0.00%,,0.0,0.0,,
2011-01-07,0.3,0.3,0.3,0.3,42.60K,0.00%,,0.0,0.0,,
2011-01-08,0.3,0.3,0.3,0.3,1.63K,0.00%,,0.0,0.0,,
2011-01-09,0.3,0.3,0.3,0.3,1.69K,0.00%,,0.0,0.0,,
2011-01-10,0.3,0.3,0.3,0.3,10.36K,0.00%,,0.0,0.0447213595499958,1.2727443011197421,-908479.4776239446
2011-01-11,0.3,0.3,0.3,0.3,4.86K,0.00%,,0.0,0.05477225575051662,-0.3854561631249186,113409.82301919966
2011-01-12,0.3,0.3,0.4,0.3,31.36K,0.00%,,0.0,0.054772255750516606,-1.06459095409002,-651547.352112783
2011-01-13,0.3,0.3,0.4,0.3,20.12K,0.00%,,0.0,0.054772255750516606,1.228599913889048,1117136.7735724852
2011-01-14,0.4,0.3,0.4,0.3,27.13K,25.94%,0.9230769230769232,0.9615384615384616,0.054772255750516606,-0.6918388242064992,-308485.16915958596
2011-01-15,0.4,0.4,0.4,0.4,1.52K,0.00%,0.9285714285714286,0.9642857142857144,0.05477225575051662,-1.1593120135026491,-1035530.3860898617
2011-01-16,0.4,0.4,0.4,0.4,2.78K,0.00%,0.9333333333333332,0.9666666666666668,0.05477225575051662,-1.1593120135026491,-1035530.3860898617
2011-01-17,0.3,0.4,0.4,0.3,18.24K,0.00%,0.875,0.90625,0.05477225575051662,-0.3854561631249186,113409.82301919966
2011-01-18,0.3,0.3,0.3,0.3,15.67K,0.00%,0.8823529411764706,0.9117647058823528,0.054772255750516606,0.4547548740787348,-31778.644242247494
2011-01-19,0.3,0.3,0.3,0.3,7.29K,0.00%,0.8888888888888888,0.9166666666666666,0.04472135954999576,-0.48571681070282763,1368654.461635088
2011-01-20,0.4,0.3,0.4,0.3,19.88K,24.60%,0.8421052631578947,0.868421052631579,0.0,,
2011-01-21,0.4,0.4,0.4,0.4,8.48K,0.00%,0.85,0.875,0.0,,
2011-01-22,0.4,0.4,0.4,0.4,10.53K,0.00%,0.8571428571428571,0.8809523809523809,0.0,,
2011-01-23,0.4,0.4,0.4,0.4,1.15K,0.00%,0.8636363636363636,0.8863636363636364,0.0,,
2011-01-24,0.4,0.4,0.4,0.4,11.06K,0.00%,0.8695652173913043,0.8913043478260869,0.0,,
2011-01-25,0.4,0.4,0.4,0.4,2.16K,0.00%,0.875,0.8958333333333333,0.0,,
2011-01-26,0.4,0.4,0.4,0.4,15.57K,0.00%,0.88,0.9,0.04472135954999569,3.572038402042761,863422.3812897662
2011-01-27,0.4,0.4,0.4,0.4,27.71K,0.00%,0.8846153846153847,0.903846153846154,0.05477225575051651,0.1448101245514995,-339818.126228505
2011-01-28,0.4,0.4,0.4,0.4,5.33K,0.00%,0.8888888888888888,0.9074074074074074,0.12247448713915883,1.4529078090247838,45108.92624017244
2011-01-29,0.4,0.4,0.4,0.4,1.45K,0.00%,0.8928571428571429,0.9107142857142858,0.13416407864998728,0.21665398484221798,15809.072315497286
2011-01-30,0.5,0.4,0.5,0.4,10.38K,0.00%,0.8620689655172413,0.8793103448275862,0.10954451150103306,-0.45862606046440313,57233.674790398974
2011-01-31,0.5,0.5,0.9,0.5,63.52K,0.00%,0.8666666666666667,0.8833333333333333,0.10954451150103299,-1.4990968993160594,-53378.440921538226
2011-02-01,0.7,0.5,0.9,0.5,31.56K,34.62%,0.8602150537634409,0.8548387096774194,0.08944271909999114,1.1818842406665537,-30335.216430182238
2011-02-02,0.7,0.7,0.8,0.7,5.63K,0.00%,0.8645833333333334,0.859375,0.09999999999999955,0.27687864214171903,118069.92656144591
2011-02-03,0.7,0.7,0.8,0.7,8.53K,0.00%,0.8686868686868687,0.8636363636363636,0.08944271909999098,-1.335477458985759,-35431.78684899665
2011-02-04,0.8,0.7,0.9,0.7,42.22K,17.54%,0.8445378151260504,0.8676470588235294,0.04472135954999433,-3.0492606609668353,-1173697.248147473
2011-02-05,0.9,0.8,0.9,0.8,15.79K,13.44%,0.8214285714285714,0.8428571428571429,0.08944271909999076,2.578370174817383,152362.50552108855
2011-02-06,0.9,0.9,0.9,0.8,8.74K,0.00%,0.8263888888888888,0.8472222222222223,0.08944271909999071,0.7561023560047764,-257876.90302143223
2011-02-07,0.9,0.9,0.9,0.8,2.26K,0.00%,0.8310810810810811,0.8513513513513513,0.09999999999999916,0.006705520888550594,-13883.360708565107
2011-02-08,0.9,0.9,0.9,0.9,7.02K,0.00%,0.8355263157894737,0.8552631578947368,0.08944271909999052,-1.8468154387638966,-164771.92136625957
2011-02-09,1.1,0.9,1.1,0.8,49.63K,18.74%,0.8256410256410256,0.8333333333333333,0.05477225575051476,-1.5097260320719494,-541523.595256389
2011-02-10,1.0,1.1,1.1,0.8,26.56K,-10.06%,0.8068181818181818,0.8125,0.05477225575051476,0.41052708309655744,883814.1374335727
2011-02-11,1.1,1.0,1.1,0.9,13.30K,9.15%,0.7886178861788617,0.8170731707317074,0.05477225575051476,0.41052708309655744,883814.1374335727
2011-02-12,1.1,1.1,1.1,1.0,4.12K,0.00%,0.7936507936507936,0.8214285714285714,0.054772255750514844,-0.8303949375904146,-644455.7494753369
2011-02-13,1.0,1.1,1.1,1.0,3.24K,0.00%,0.776386404293381,0.8023255813953488,0.04472135954999375,3.9919344862117723,80206.1081758815
2011-02-14,1.1,1.0,1.1,1.0,7.10K,0.00%,0.7597402597402597,0.7840909090909091,0.07071067811865354,0.009483038583364337,-90258.70092803861
2011-02-15,1.0,1.1,1.1,1.0,8.62K,0.00%,0.7437037037037038,0.788888888888889,0.05477225575051522,1.772032654162216,1085642.4735276063
2011-02-16,1.0,1.0,1.0,1.0,7.19K,0.00%,0.7492753623188406,0.7934782608695652,0.05477225575051535,0.1585074604633595,-91236.00827013183
2011-02-17,1.0,1.0,1.0,1.0,4.01K,0.00%,0.7546099290780142,0.7978723404255319,0.07071067811865397,-0.645331359139339,-273871.6718950527
2011-02-18,0.9,1.0,1.0,0.8,36.95K,-13.57%,0.7395833333333334,0.78125,0.044721359549994774,-2.364731398259895,-1573771.49942819
2011-02-19,0.9,0.9,1.0,0.8,3.80K,5.57%,0.7448979591836735,0.7857142857142857,0.044721359549994774,-3.0492606609668353,-1173697.248147473
2011-02-20,0.9,0.9,0.9,0.8,9.97K,-10.43%,0.75,0.79,0.07071067811865397,-0.645331359139339,-273871.6718950527
2011-02-21,0.8,0.9,0.9,0.8,1.70K,0.00%,0.7358708189158016,0.7745098039215685,0.07071067811865397,-0.645331359139339,-398872.09657922894
2011-02-22,0.9,0.8,0.9,0.8,12.10K,0.00%,0.7222222222222223,0.7788461538461539,0.05477225575051529,0.1585074604633595,-438459.4101706212
2011-02-23,0.9,0.9,0.9,0.9,6.72K,0.00%,0.7274633123689729,0.7830188679245284,0.05477225575051529,0.1585074604633595,-91236.00827013183
2011-02-24,1.0,0.9,1.0,0.9,13.42K,10.82%,0.7144249512670566,0.7685185185185186,0.05477225575051529,0.1585074604633595,-91236.00827013183
2011-02-25,0.9,1.0,1.0,0.9,4.46K,-8.65%,0.7018181818181819,0.7545454545454546,0.044721359549994386,3.1146712401395837,114103.58962028417
2011-02-26,1.0,0.9,1.0,0.9,4.74K,0.00%,0.689625850340136,0.7589285714285714,0.044721359549994386,3.1146712401395837,114103.58962028417
2011-02-27,0.9,1.0,1.0,0.9,23.27K,-7.10%,0.6778309409888357,0.7456140350877193,0.0,,
2011-02-28,0.9,0.9,0.9,0.8,4.65K,0.00%,0.6833855799373041,0.75,0.0,,
2011-03-01,0.9,0.9,1.0,0.9,22.57K,7.00%,0.6887519260400616,0.7542372881355932,0.0,,
2011-03-02,0.9,0.9,0.9,0.9,2.74K,0.00%,0.6939393939393941,0.7583333333333333,0.0,,
2011-03-03,0.9,0.9,0.9,0.9,2.75K,0.00%,0.698956780923994,0.7622950819672131,0.0,,
2011-03-04,0.9,0.9,0.9,0.9,2.71K,0.00%,0.7038123167155426,0.7661290322580645,0.0,,
2011-03-05,0.9,0.9,0.9,0.8,12.57K,0.00%,0.7085137085137085,0.7698412698412698,0.0,,
2011-03-06,0.9,0.9,0.9,0.8,12.63K,0.00%,0.7130681818181819,0.7734375,0.0,,
