Time, I, Bit coin,Price
0, 0.325341, 18.442188, 0.543127
1, 0.583140, 10.289125, 0.543127
2, 0.639841, 9.377328, 0.543127
3, 0.673680, 8.906300, 0.543127
4, 0.686448, 8.740646, 0.543133
5, 0.682857, 8.786607, 0.543133
6, 0.724730, 8.278942, 0.543083
7, 0.700505, 8.565250, 0.543083
8, 0.691655, 8.674841, 0.543146
9, 0.678123, 8.847958, 0.543096
10, 0.649434, 9.238812, 0.543096
11, 0.643835, 9.319156, 0.543097
12, 0.625462, 9.592912, 0.543178
13, 0.587533, 10.212196, 0.543179
14, 0.585906, 10.240557, 0.543179
15, 0.579464, 10.354393, 0.543123
16, 0.589816, 10.172670, 0.543123
17, 0.559195, 10.729719, 0.543112
18, 0.549615, 10.916739, 0.543112
19, 0.567370, 10.575109, 0.542762
20, 0.564957, 10.620283, 0.542758
21, 0.545421, 11.000674, 0.542765
22, 0.525213, 11.423926, 0.542764
23, 0.525749, 11.412290, 0.542779
24, 0.529643, 11.328379, 0.542736
25, 0.523048, 11.471212, 0.542738
26, 0.518395, 11.574179, 0.542814
27, 0.521382, 11.507870, 0.542813
28, 0.518184, 11.578904, 0.542896
29, 0.515080, 11.648684, 0.542885
30, 0.517361, 11.597325, 0.542800
31, 0.513058, 11.694591, 0.542800
32, 0.497298, 12.065199, 0.542727
33, 0.507962, 11.811896, 0.542728
34, 0.492041, 12.194117, 0.542757
35, 0.485350, 12.362211, 0.542721
36, 0.490292, 12.237606, 0.542727
37, 0.479178, 12.521447, 0.542727
38, 0.474668, 12.640415, 0.542727
39, 0.488620, 12.279485, 0.542727
40, 0.474013, 12.657883, 0.542727
41, 0.459663, 13.053033, 0.542647
42, 0.462279, 12.979187, 0.542602
43, 0.470582, 12.750179, 0.542602
44, 0.454488, 13.201667, 0.542704
45, 0.442069, 13.572546, 0.542704
46, 0.434537, 13.807797, 0.542705
47, 0.432979, 13.857471, 0.542704
48, 0.413552, 14.508454, 0.542704
49, 0.420337, 14.274266, 0.542704
50, 0.429604, 13.966352, 0.542704
51, 0.420594, 14.265551, 0.542706
52, 0.409310, 14.658813, 0.542706
53, 0.425801, 14.091083, 0.542707
54, 0.420608, 14.265050, 0.542701
55, 0.414808, 14.464536, 0.542701
56, 0.403137, 14.883292, 0.542701
57, 0.411669, 14.574828, 0.542701
58, 0.410993, 14.598781, 0.542502
59, 0.415692, 14.433755, 0.542627
60, 0.399281, 15.027023, 0.542610
61, 0.388897, 15.428255, 0.542610
62, 0.385922, 15.547198, 0.542591
63, 0.390257, 15.374475, 0.542559
64, 0.394218, 15.219995, 0.542765
